	AAPL	ABNB	COF	DDOG	SPY	TSLA	date
1	-0.03042920944187999	0.06292875862450686	0.08722373161458141	0.0902138458461772	-0.008923538766048789	-0.045025412068364634	2024-10-31
2	0.05170694988434121	0.00979306617677933	0.18332191101420858	0.21771362425913865	0.059633418953695116	0.3814688622385134	2024-11-30
3	0.055155165267847917	-0.034530871553641984	-0.0712983345227951	-0.0645499221626944	-0.02406006705359487	0.17000808915631316	2024-12-31
4	-0.05758329628330294	-0.0018263867778375298	0.1423843640486253	-0.0012596590142772701	0.02685634303853357	0.0018819576379678349	2025-01-31
5	0.02587250863119217	0.05870242475969767	-0.01258151777456451	-0.18330882510965085	-0.012694838334663117	-0.2758773935575025	2025-02-28
6	-0.08150016089676093	-0.13977098520335818	-0.10595860745605512	-0.14877737892108645	-0.055719310915217646	-0.11543452131892018	2025-03-31
7	-0.0433530204439031	0.02059265949544442	0.005353988301815882	0.02973495217074773	-0.008670056544183735	0.08874826236685496	2025-04-30
8	-0.05358404741185141	0.05807088203236255	0.052667342601860456	0.15387620426582904	0.06284493303163585	0.2278848417863253	2025-05-31
9	0.021508605533881342	0.025891444479772208	0.12482155592879551	0.13954873567118065	0.051386124993305415	-0.08312644606383923	2025-06-30
10	0.011697550949276492	0.0005289959661174404	0.010528329914254009	0.0420605510270915	0.023031648578059727	-0.02955995259140498	2025-07-31
11	0.11963899509502118	-0.014198359873246358	0.059713164739119806	-0.02357481892041935	0.02051948204102305	0.08304410748975077	2025-08-31
12	0.09688125410892989	-0.0697923902210017	-0.06443091228716502	0.04184958682483653	0.03562033510828466	0.33201547825406585	2025-09-30
13	0.06181516967143552	0.04216770568105255	0.0348575203684216	0.1433286835457741	0.02383739357630099	0.026623485126352042	2025-10-31
14	0.03236421756367314	-0.07547023062006286	-0.0003948126478390268	-0.017197979815398723	0.0019500049129079766	-0.05780178787448975	2025-11-30
15	-0.02506728904622013	0.1600991853914211	0.10631314124259861	-0.1501155542671161	0.0007975029584423865	0.045447119005781245	2025-12-31
16	-0.04553807543927224	-0.04678754823461484	-0.09667444431393946	-0.04904770865150532	0.014737818820090842	-0.04293782243658151	2026-01-31
17	0.01906584775625153	0.04436890863267462	-0.10296170486773559	-0.13424069947833162	-0.008642046247570145	-0.06482189925675397	2026-02-28
18	-0.03932929687093156	-0.06535416913008418	-0.0675220687237914	0.05439446246056434	-0.04937956664344334	-0.07642048401115797	2026-03-31
19	0.06919111547343992	0.11149827341749274	0.04862140185331576	0.1197797460746266	0.10505268686597247	0.026577013807162153	2026-04-30
20	0.15108715221843583	-0.050228006704909345	-0.013399389462070976	0.871170296809356	0.05262575303750272	0.14191757191298504	2026-05-31
21	-0.07274245453871875	0.07343791706708913	0.0675252019907373	0.05259744866390759	-0.010292566443839024	-0.034856243015127464	2026-06-30
22	0.06756296301144094	0.058839956742241295	0.04182034422449954	0.02922882277345673	0.00034817917005858234	-0.26008086795299534	2026-07-31
23	0.026587852979950588	0.20921327913401933	0.029938800590029846	-0.11542339737161855	0.0267994025821654	0.18232069120487515	2026-08-31
