date	AAPL	ABNB	COF	DDOG	SPY	TSLA
2024-09-30	231.0670928955078	126.80999755859376	145.6627197265625	115.05999755859376	562.21044921875	261.6300048828125
2024-10-31	224.0359039306641	134.7899932861328	158.3679656982422	125.44000244140624	557.1935424804688	249.8500061035156
2024-11-30	235.6201171875	136.11000061035156	187.40028381347656	152.75	590.4208984375	345.1600036621094
2024-12-31	248.61578369140625	131.41000366210938	174.03895568847656	142.88999938964844	576.21533203125	403.8399963378906
2025-01-31	234.29966735839844	131.1699981689453	198.8193817138672	142.7100067138672	591.6903686523438	404.6000061035156
2025-02-28	240.3615875244141	138.8699951171875	196.31793212890625	116.5500030517578	584.178955078125	292.9800109863281
2025-03-31	220.77207946777344	119.45999908447266	175.516357421875	99.20999908447266	551.62890625	259.1600036621094
2025-04-30	211.2009429931641	121.91999816894533	176.45606994628906	102.16000366210938	546.8462524414062	282.1600036621094
2025-05-31	199.88394165039065	129.0	185.74954223632807	117.87999725341795	581.2127685546875	346.4599914550781
2025-06-30	204.18316650390625	132.33999633789062	208.93508911132807	134.3300018310547	611.0790405273438	317.6600036621094
2025-07-31	206.5716094970703	132.41000366210938	211.13482666015625	139.97999572753906	625.1531982421875	308.2699890136719
2025-08-31	231.2856292724609	130.52999877929688	223.7423553466797	136.67999267578125	637.9810180664062	333.8699951171875
2025-09-30	253.69287109375	121.41999816894533	209.3264312744141	142.39999389648438	660.7061157226562	444.7200012207031
2025-10-31	269.3749389648437	126.54000091552734	216.6230316162109	162.80999755859375	676.4556274414062	456.55999755859375
2025-11-30	278.0930480957031	116.98999786376952	216.5375061035156	160.00999450683594	677.7747192382812	430.1700134277344
2025-12-31	271.1220092773437	135.72000122070312	239.55828857421875	135.99000549316406	678.3152465820312	449.7200012207031
2026-01-31	258.775634765625	129.3699951171875	216.3991241455078	129.32000732421875	688.3121337890625	430.4100036621094
2026-02-28	263.7094116210937	135.11000061035156	194.1183013916016	111.95999908447266	682.3637084960938	402.510009765625
2026-03-31	253.33790588378903	126.27999877929688	181.0110321044922	118.0500030517578	648.6688842773438	371.75
2026-04-30	270.8666381835937	140.36000061035156	189.81204223632807	132.19000244140625	716.8132934570312	381.6300048828125
2026-05-31	311.7911071777344	133.30999755859375	187.2686767578125	247.3500061035156	754.5361328125	435.7900085449219
2026-06-30	289.11065673828125	143.10000610351562	199.91403198242188	260.3599853515625	746.77001953125	420.6000061035156
2026-07-31	308.6438293457031	151.52000427246094	208.2745056152344	267.9700012207031	747.030029296875	311.2099914550781
2026-08-31	316.8500061035156	183.22000122070312	214.50999450683597	237.0399932861328	767.0499877929688	367.9500122070313
