	AAPL	ABNB	COF	DDOG	SPY	TSLA
AAPL	0.0040141457801001635	-0.00013897693531923061	4.827779426607507e-05	0.006134422023576189	0.001053068054786828	0.002828752888138861
ABNB	-0.00013897693531923061	0.006297273112766503	0.0030689533354677106	-0.0028691634306193706	0.0009419115343846966	0.00021203103137196894
COF	4.827779426607507e-05	0.0030689533354677106	0.00644298612753643	0.0031701914607559323	0.0014679303946392192	0.002552732807787309
DDOG	0.006134422023576189	-0.0028691634306193706	0.0031701914607559323	0.04400564438258286	0.0037750140981713393	0.011083611035026858
SPY	0.001053068054786828	0.0009419115343846966	0.0014679303946392192	0.0037750140981713393	0.0013796398026095552	0.002817612621476048
TSLA	0.002828752888138861	0.00021203103137196894	0.002552732807787309	0.011083611035026858	0.002817612621476048	0.02612421113468701
