	asset	estimated_return
0	AAPL	0.015696021642272896
1	ABNB	0.019051065620952795
2	COF	0.01999430462508293
3	DDOG	0.04773917463828643
4	SPY	0.014246045074757309
5	TSLA	0.027043245645209102
