month	price
2025-01-01	4.747602
2025-02-01	4.2670565
2025-03-01	3.7074182
2025-04-01	3.827266
2025-05-01	3.3876429
2025-06-01	3.0463917
2025-07-01	3.1109543
2025-08-01	3.4260075
2025-09-01	3.6401072
2025-12-01	4.9170914
