recipe_tag	coeficcient
bias	0.39417139909065335
alfredo	0.1416915301412905
almond	-0.23445321872604438
american	0.02417801969748137
appetizer	0.09750948244191583
appetizers	0.08613299181615289
apple	0.07425452708088151
asiancuisine	-0.02438526215114889
asparagus	-0.10086180897150888
avocado	-0.040665856148644944
bacon	0.2653388844520038
baked	0.015081764711015216
bakeddishes	0.04014213927228407
bakery	0.03033656677764006
baking	0.1263160301833182
beans	0.09664856385595547
beef	-0.036729135548335456
bellpeppers	0.009977691053752182
berries	-0.14692882122041373
blackbeans	0.009977691053752182
blackvinegar	0.037707419515112535
blueberry	-0.012318344797392689
boiledeggs	-0.006819685922518477
bokchoy	-0.006819685922518477
braided	0.019687198498201275
bread	0.0066495297977395024
breaded	0.06435314921312375
breakfast	0.07545550515211533
breakfastpastry	0.04958533046576519
brioche	-0.009009352053628376
broiling	0.06376500856094064
brownies	0.03598527468310626
brownsugar	0.03632698375281648
brunch	0.06471013726428049
burger	-0.007562883932482246
burritos	-0.007170453189158954
buttery	0.04883255315056531
cake	0.02356445591960713
carrots	-0.006819685922518477
casserole	-0.09654724727031211
celebration	-0.0766651894686228
cheese	-0.005669568601543468
cheesy	0.07635546762268712
cherry	-0.09303789221156826
chicken	-0.01175324309967074
chickpeas	-0.007562883932482246
chilioil	-0.02372945954994775
chilipowder	0.009977691053752182
chinese	-0.07752530104106137
chinesecookingwine	-0.06143687906506028
chinesecuisine	0.025158997161904804
chocolate	0.1598115799430187
chocolatechip	-0.08168197829052869
chocolatecroissant	0.04958533046576519
christmas	-0.005457231115418959
cilantro	0.041834170929536375
cinnamon	0.03754437239833887
citrus	-0.08606194889104281
classic	0.09571560386682723
cloves	0.02065285502478126
cobbler	-0.005682407270197157
cocoapowder	0.028130456043237204
coffee	-0.01911348553764909
cold	-0.07752530104106137
coldnoodles	-0.09911779141570357
comfortfood	0.07090082284401185
condiment	-0.09253656174560991
cookies	-0.05500778304993176
corn	-0.0766651894686228
cranberry	0.015096367759942001
creamcheese	-0.023782218020090146
creamy	0.050198211027567
crisp	0.034824532251752055
crispy	0.15294160767630977
croissant	-0.01911348553764909
croissants	0.06874815095817066
crumble	-0.05184645269135383
crust	0.02065285502478126
cucumber	-0.09911779141570357
cumin	0.009977691053752182
cupcakes	0.033973637774258755
custard	-0.174456429275546
custardy	0.024889817888380607
customizable	0.07726522039953541
danish	-0.023782218020090146
dashibroth	0.04274947595987414
dates	-0.022654623135435734
decadent	0.012061924205551872
dessert	0.18233752908306217
dinner	0.04798141188115416
dip	0.17046459145420104
donuts	0.008697510323180922
easterneuropean	0.019687198498201275
easy	0.1590905881906336
easydinner	-0.06423440076782487
egg	0.06767594497669274
eggs	0.05110232559305848
eggwhites	0.0025591142686530854
fajitaseasoning	0.012273406182025695
fall	0.037828287178644726
familyfriendly	-0.160781648038137
fastfood	0.06435314921312375
fetacheese	-0.002292854716234935
filling	0.10035681439230897
fingerfood	0.08875795926935623
flaky	-0.05373585765446136
french	0.015400105763408292
frenchcuisine	-0.17004475813400466
frenchpastry	0.060808411705756155
fresh	0.06212808604176046
fried	0.1008568760827232
friedfood	-0.10988037918504422
friedrice	0.02309159399277355
fries	-0.021249505371995447
frosting	0.05753809369386589
fruit	-0.05778956981023048
fudgy	-0.007625274292649403
